	dq_metric	rule_template_name	rule_template_desc	ruleset_id	created_by	created_date	updated_by	updated_date
0	VALIDITY	SQL_VALIDATOR	Apply sql rule for validity metric	19352567	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
1	COMPLETENESS	NULL_CHECK	Apply null check rule	38494817	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
2	VALIDITY	RANGE_CHECK	Apply range check rule	62482738	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
3	UNIQUENESS	UNIQUENESS_CHECK	Apply unique check rule	98401568	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
4	ACCURACY	SQL_VALIDATOR	Apply sql rule for accuracy metric	42890085	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
5	VALIDITY	REFERENCE_VALUES_CHECK	Apply reference value check rule for validity metric	12505519	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
6	CONFORMITY	LENGTH_CHECK	Apply length check rule 	53146881	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
7	CONFORMITY	SQL_VALIDATOR	Apply sql rule for conformity metric	79351309	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
8	CONSISTENCY	DATA_DIFF	compare source and target entities	28691897	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
9	CONFORMITY	WHOLE_NUMBER_CHECK	Apply whole number check rule	62007073	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
10	VALIDITY	CROSS_REFERENCE_VALUES_CHECK	Apply cross reference value check rule for validity metric	28877488	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
11	CONFORMITY	REGEX_CHECK	Apply regex check rule	76750793	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
12	PROFILER	PROFILER	Apply profiler	27187006	sys	2023-11-29 14:51:03.722847	sys	2023-11-29 14:51:03.722847
